route_date_key,date,year,month,quarter,day_of_week,region,bu,area,route_id,primary_waste_stream,primary_customer_segment,num_drivers,num_trucks,total_stops,completed_stops,missed_stops,total_distance_km,total_fuel_used_litres,total_labour_hours,total_yards,total_tonnes,avg_revenue_per_stop,total_revenue,disposal_cost,fuel_cost,labour_cost,maintenance_cost,admin_cost,total_cost,net_revenue,gross_profit,gross_margin_pct,scheduled_hours,actual_hours,delay_minutes,on_time_flag,incident_flag,incident_type
RDK-0003728,2023-04-06,2023,4,Q2,Thursday,Quebec,Quebec BU,Quebec City,RTE-0085,Recycling,Office & Commercial,1,1,145,139,6,208.7,116.1,18.73,262.4,23.98,61.93,8607.59,717.32,170.5,911.84,68.41,292.01,2160.08,7890.27,6447.51,74.9,19.31,19.51,12,1,0,None
RDK-0003729,2024-07-11,2024,7,Q3,Thursday,Quebec,Quebec BU,Longueuil,RTE-0027,Recycling,Hospitality,1,1,127,126,1,225.1,122.0,16.0,263.8,26.4,74.05,9330.73,630.78,190.71,741.37,73.71,137.53,1774.1,8699.95,7556.63,80.99,15.54,15.92,23,0,0,None
RDK-0003730,2022-07-14,2022,7,Q3,Thursday,Ontario,Central Ontario BU,Kingston,RTE-0057,General Waste,Office & Commercial,1,1,160,159,1,222.9,110.8,20.08,307.0,56.98,37.1,5898.32,4692.37,170.08,860.63,46.84,201.68,5971.6,1205.95,-73.28,-1.24,22.72,22.85,8,1,0,None
RDK-0003731,2022-03-04,2022,3,Q1,Friday,Alberta,Edmonton BU,St. Albert,RTE-0114,General Waste,Retail,1,1,163,163,0,344.9,214.7,21.67,270.5,49.42,33.88,5522.45,4321.33,334.92,850.36,91.72,195.8,5794.13,1201.12,-271.68,-4.92,21.97,22.87,54,0,0,None
RDK-0003732,2023-12-11,2023,12,Q4,Monday,Atlantic,Atlantic BU,Fredericton,RTE-0010,General Waste,Restaurant & Food Service,1,1,139,136,3,186.8,127.4,14.96,235.6,44.47,38.45,5229.65,3712.51,189.02,712.66,39.43,159.07,4812.69,1517.14,416.96,7.97,14.76,14.93,10,1,0,None
RDK-0003733,2023-05-10,2023,5,Q2,Wednesday,Quebec,Quebec BU,Longueuil,RTE-0115,General Waste,Industrial,1,1,198,194,4,225.9,121.0,24.91,392.5,69.55,76.14,14770.94,4830.63,204.31,1128.29,38.25,514.27,6715.75,9940.31,8055.19,54.53,26.27,26.85,35,0,0,None
RDK-0003734,2022-05-10,2022,5,Q2,Tuesday,Prairies,Prairies BU,Regina,RTE-0047,Organics,Office & Commercial,2,2,106,101,5,232.0,146.8,14.85,190.6,46.88,31.65,3196.64,2244.0,254.52,649.63,53.21,144.76,3346.12,952.64,-149.48,-4.68,14.84,15.44,36,0,0,None
RDK-0003735,2022-05-10,2022,5,Q2,Tuesday,Prairies,Prairies BU,Regina,RTE-0062,General Waste,Office & Commercial,1,1,125,120,5,252.4,127.1,16.9,226.0,45.2,57.46,6895.18,3387.97,200.66,656.76,64.71,242.09,4552.19,3507.21,2342.99,33.98,16.66,16.66,0,1,0,None
RDK-0003736,2024-07-02,2024,7,Q3,Tuesday,Ontario,Central Ontario BU,Peterborough,RTE-0045,General Waste,Restaurant & Food Service,1,1,152,152,0,228.2,111.6,22.65,329.6,60.67,97.82,14869.02,5659.19,155.86,1355.06,39.23,571.87,7781.21,9209.83,7087.81,47.67,23.09,23.79,42,0,0,None
RDK-0003737,2023-11-07,2023,11,Q4,Tuesday,Alberta,Edmonton BU,St. Albert,RTE-0103,Recycling,Retail,1,1,142,142,0,208.8,119.5,17.08,258.0,26.86,56.63,8042.12,842.17,237.52,924.49,56.34,390.06,2450.58,7199.95,5591.54,69.53,15.92,16.12,12,1,0,None
RDK-0003738,2022-12-19,2022,12,Q4,Monday,Ontario,Central Ontario BU,Sudbury,RTE-0022,Cardboard,Retail,1,1,152,148,4,233.0,128.9,20.34,248.3,14.85,62.52,9253.43,421.62,206.1,994.38,69.95,328.23,2020.28,8831.81,7233.15,78.17,20.02,20.39,22,0,1,Vehicle Damage
RDK-0003739,2023-06-07,2023,6,Q2,Wednesday,Ontario,GTA BU,Markham,RTE-0018,General Waste,Retail,1,1,139,139,0,219.1,128.5,15.96,276.3,50.74,69.9,9715.44,2620.32,201.27,847.4,83.18,411.69,4163.86,7095.12,5551.58,57.14,17.41,18.21,48,0,0,None
RDK-0003740,2023-05-06,2023,5,Q2,Saturday,BC,BC BU,Surrey,RTE-0039,General Waste,Industrial,1,1,144,144,0,265.6,150.9,19.41,271.8,46.82,85.02,12242.64,3243.72,242.03,782.27,78.7,521.08,4867.8,8998.92,7374.84,60.24,20.63,21.66,62,0,0,None
RDK-0003741,2024-06-22,2024,6,Q2,Saturday,Prairies,Prairies BU,Regina,RTE-0106,General Waste,Retail,1,1,159,159,0,290.7,168.0,17.69,341.6,58.49,47.95,7624.38,5411.47,296.18,865.65,119.42,279.87,6972.59,2212.91,651.79,8.55,17.27,17.27,0,1,0,None
RDK-0003742,2024-04-02,2024,4,Q2,Tuesday,Quebec,Quebec BU,Montreal,RTE-0064,General Waste,Office & Commercial,2,2,166,166,0,204.3,107.0,17.49,317.5,55.63,60.24,10000.61,4941.77,187.62,624.48,51.78,419.13,6224.78,5058.84,3775.83,37.76,18.25,18.25,0,1,0,None
RDK-0003743,2022-09-13,2022,9,Q3,Tuesday,Atlantic,Atlantic BU,Moncton,RTE-0077,General Waste,Restaurant & Food Service,1,1,133,133,0,247.4,160.2,15.37,244.6,43.53,68.28,9080.83,3494.99,315.17,565.22,53.51,458.84,4887.73,5585.84,4193.1,46.18,16.33,17.08,45,0,0,None
RDK-0003744,2022-10-26,2022,10,Q4,Wednesday,BC,BC BU,Vancouver,RTE-0005,General Waste,Hospitality,1,1,152,151,1,257.9,136.5,18.64,272.7,50.47,37.02,5589.71,3870.01,262.89,675.85,101.5,179.75,5090.0,1719.7,499.71,8.94,19.95,20.2,15,1,0,None
RDK-0003745,2023-12-07,2023,12,Q4,Thursday,BC,BC BU,Vancouver,RTE-0080,Recycling,Industrial,1,1,112,106,6,248.9,132.7,14.9,188.4,19.68,48.45,5135.58,561.89,231.48,534.68,90.91,181.89,1600.85,4573.69,3534.73,68.83,15.96,16.04,5,1,0,None
RDK-0003746,2024-02-23,2024,2,Q1,Friday,Alberta,Calgary BU,Calgary SE,RTE-0091,General Waste,Hospitality,1,1,165,162,3,242.4,114.7,25.77,296.7,54.26,63.63,10308.11,5324.65,186.54,949.79,64.03,331.83,6856.84,4983.46,3451.27,33.48,25.98,26.33,21,0,0,None
RDK-0003747,2022-05-18,2022,5,Q2,Wednesday,Prairies,Prairies BU,Regina,RTE-0062,General Waste,Office & Commercial,2,2,117,116,1,186.1,95.4,14.55,226.6,40.27,47.03,5456.01,2990.1,146.48,650.31,92.3,231.65,4110.84,2465.91,1345.17,24.65,15.6,15.6,0,1,0,None
RDK-0003748,2024-08-30,2024,8,Q3,Friday,Alberta,Edmonton BU,St. Albert,RTE-0079,Organics,Restaurant & Food Service,1,1,140,139,1,244.5,153.6,19.34,287.2,74.46,76.41,10620.47,4545.81,273.6,1038.24,87.96,512.18,6457.79,6074.66,4162.68,39.19,19.89,20.64,45,0,1,Spill
RDK-0003749,2022-01-08,2022,1,Q1,Saturday,Atlantic,Atlantic BU,Moncton,RTE-0068,General Waste,Industrial,1,1,176,167,9,265.9,141.6,20.72,268.5,50.71,51.37,8577.97,3892.54,221.79,978.72,82.78,275.38,5451.21,4685.43,3126.76,36.45,21.38,21.98,36,0,0,None
RDK-0003750,2022-12-06,2022,12,Q4,Tuesday,Alberta,Edmonton BU,Edmonton North,RTE-0110,Organics,Healthcare,2,2,124,124,0,304.7,159.9,15.71,213.3,53.78,75.1,9312.54,4215.53,268.87,652.27,58.15,215.69,5410.51,5097.01,3902.03,41.9,16.17,16.17,0,1,0,None
RDK-0003751,2024-10-31,2024,10,Q4,Thursday,Quebec,Quebec BU,Quebec City,RTE-0104,General Waste,Retail,1,1,131,126,5,170.0,131.8,14.99,247.0,44.74,52.24,6582.69,3516.18,222.36,566.53,47.9,227.88,4580.85,3066.51,2001.84,30.41,15.33,15.9,34,0,0,None
RDK-0003752,2024-09-19,2024,9,Q3,Thursday,BC,BC BU,Vancouver,RTE-0109,Recycling,Office & Commercial,2,2,182,182,0,299.1,157.5,21.56,370.7,35.59,54.44,9908.57,1360.1,200.4,861.21,114.95,454.72,2991.38,8548.47,6917.19,69.81,22.75,22.75,0,1,0,None
RDK-0003753,2023-07-12,2023,7,Q3,Wednesday,Prairies,Prairies BU,Regina,RTE-0006,Cardboard,Restaurant & Food Service,1,1,136,133,3,227.1,137.5,17.7,274.3,16.43,49.45,6577.37,591.58,201.27,635.0,86.01,322.92,1836.78,5985.79,4740.59,72.07,17.23,17.23,0,1,0,None
RDK-0003754,2022-12-14,2022,12,Q4,Wednesday,Prairies,Prairies BU,Regina,RTE-0047,Organics,Office & Commercial,1,1,107,105,2,174.3,112.6,13.68,168.9,43.75,38.22,4013.44,2970.51,221.53,633.54,66.31,182.08,4073.97,1042.93,-60.53,-1.51,14.5,14.5,0,1,0,None
RDK-0003755,2022-08-12,2022,8,Q3,Friday,Quebec,Quebec BU,Longueuil,RTE-0052,General Waste,Healthcare,1,1,154,154,0,284.8,166.7,19.34,291.9,53.69,59.69,9192.8,4512.45,262.92,922.48,97.55,238.34,6033.74,4680.35,3159.06,34.36,20.46,21.19,44,0,0,None
RDK-0003756,2023-09-28,2023,9,Q3,Thursday,Prairies,Prairies BU,Regina,RTE-0042,Cardboard,Retail,1,1,158,156,2,262.0,142.7,19.39,304.4,16.83,61.6,9609.42,441.26,241.11,950.09,111.88,371.26,2115.6,9168.16,7493.82,77.98,20.99,21.41,25,0,0,None
RDK-0003757,2022-07-12,2022,7,Q3,Tuesday,BC,BC BU,Vancouver,RTE-0080,Recycling,Industrial,1,1,119,113,6,283.6,156.8,17.89,213.0,21.57,71.17,8042.7,723.8,266.53,988.32,121.4,237.25,2337.3,7318.9,5705.4,70.94,18.26,18.73,28,0,0,None
RDK-0003758,2023-01-06,2023,1,Q1,Friday,Ontario,Central Ontario BU,Peterborough,RTE-0045,General Waste,Restaurant & Food Service,1,1,160,158,2,319.2,179.7,18.98,279.0,48.27,102.37,16175.19,4242.38,285.42,809.51,103.16,667.04,6107.51,11932.81,10067.68,62.24,18.61,19.13,31,0,0,None
RDK-0003759,2024-05-07,2024,5,Q2,Tuesday,Atlantic,Atlantic BU,Fredericton,RTE-0010,General Waste,Restaurant & Food Service,1,1,132,132,0,264.6,156.1,15.09,273.1,49.18,58.82,7763.63,2723.92,270.84,687.41,53.18,414.92,4150.27,5039.71,3613.36,46.54,15.23,15.23,0,1,0,None
RDK-0003760,2022-09-10,2022,9,Q3,Saturday,Ontario,Central Ontario BU,Kingston,RTE-0057,General Waste,Office & Commercial,2,2,161,161,0,273.8,140.6,20.05,304.5,53.62,46.6,7503.05,5193.86,205.18,967.48,120.83,135.85,6623.2,2309.19,879.85,11.73,19.66,19.66,0,1,0,None
RDK-0003761,2022-06-06,2022,6,Q2,Monday,Quebec,Quebec BU,Montreal,RTE-0055,Recycling,Restaurant & Food Service,1,1,159,152,7,215.0,106.8,17.96,291.8,28.89,76.06,11561.26,953.96,200.08,843.64,67.43,364.05,2429.16,10607.3,9132.1,78.99,18.8,19.4,36,0,0,None
RDK-0003762,2024-07-10,2024,7,Q3,Wednesday,Ontario,Central Ontario BU,Sudbury,RTE-0108,Recycling,Hospitality,1,1,139,134,5,226.9,150.5,17.6,292.5,28.36,62.33,8351.95,1332.01,232.41,792.03,65.79,420.06,2842.3,7019.94,5509.65,65.97,19.69,19.84,9,1,0,None
RDK-0003763,2022-06-15,2022,6,Q2,Wednesday,Ontario,Central Ontario BU,Sudbury,RTE-0101,Organics,Industrial,2,2,115,115,0,190.4,103.6,12.95,219.8,48.72,69.86,8033.86,2875.26,168.85,478.22,41.3,258.07,3821.7,5158.6,4212.16,52.43,14.16,14.16,0,1,1,Near-Miss
RDK-0003764,2023-11-03,2023,11,Q4,Friday,BC,BC BU,Burnaby,RTE-0044,General Waste,Industrial,1,1,183,179,4,415.5,239.6,23.92,326.0,56.84,76.79,13746.24,3265.83,408.84,1138.08,76.76,620.55,5510.06,10480.41,8236.18,59.92,24.11,25.04,56,0,0,None
RDK-0003765,2023-05-06,2023,5,Q2,Saturday,Prairies,Prairies BU,Winnipeg,RTE-0013,General Waste,Industrial,1,1,154,154,0,279.8,123.7,20.35,303.3,53.26,81.72,12584.78,3709.66,210.1,1087.75,89.24,450.22,5546.97,8875.12,7037.81,55.92,22.02,22.12,6,1,0,None
RDK-0003766,2024-02-09,2024,2,Q1,Friday,Atlantic,Atlantic BU,Moncton,RTE-0113,Cardboard,Restaurant & Food Service,1,1,147,139,8,242.5,119.6,20.38,244.1,14.16,65.23,9067.52,430.15,161.36,974.84,84.11,358.1,2008.56,8637.37,7058.96,77.85,18.77,19.57,48,0,0,None
RDK-0003767,2022-10-12,2022,10,Q4,Wednesday,Alberta,Calgary BU,Calgary SW,RTE-0118,General Waste,Industrial,1,1,128,125,3,232.0,121.6,18.57,226.9,40.99,50.7,6337.74,3147.12,210.81,857.78,57.78,283.61,4557.1,3190.62,1780.64,28.1,19.11,19.11,0,1,0,None
RDK-0003768,2023-06-27,2023,6,Q2,Tuesday,Alberta,Edmonton BU,Sherwood Park,RTE-0090,General Waste,Restaurant & Food Service,1,1,122,121,1,223.8,139.1,17.81,234.7,41.56,63.64,7700.95,3051.92,259.84,634.27,68.04,247.44,4261.51,4649.03,3439.44,44.66,18.14,18.14,0,1,0,None
RDK-0003769,2024-06-29,2024,6,Q2,Saturday,Atlantic,Atlantic BU,Fredericton,RTE-0002,General Waste,Retail,1,1,140,139,1,131.7,87.0,14.17,300.7,54.0,45.48,6321.71,4375.23,106.85,512.5,28.37,193.48,5216.43,1946.48,1105.28,17.48,14.34,14.99,39,0,0,None
RDK-0003770,2023-12-20,2023,12,Q4,Wednesday,Atlantic,Atlantic BU,Halifax,RTE-0063,Recycling,Retail,1,1,148,148,0,220.0,101.2,17.84,250.2,25.11,52.66,7794.31,936.48,170.74,1143.97,89.45,228.4,2569.04,6857.83,5225.27,67.04,17.85,18.13,17,1,0,None
RDK-0003771,2023-10-26,2023,10,Q4,Thursday,Alberta,Edmonton BU,St. Albert,RTE-0028,General Waste,Healthcare,2,2,174,172,2,353.0,190.5,20.22,327.9,55.42,71.77,12343.67,3858.73,310.78,976.6,56.83,485.07,5688.01,8484.94,6655.66,53.92,21.82,22.24,25,0,0,None
RDK-0003772,2023-03-10,2023,3,Q1,Friday,BC,BC BU,Burnaby,RTE-0012,General Waste,Industrial,2,2,100,98,2,217.4,129.5,13.1,178.7,31.73,85.11,8340.74,2331.23,206.1,546.09,64.33,356.08,3503.83,6009.51,4836.91,57.99,13.92,14.44,31,0,0,None
RDK-0003773,2022-03-26,2022,3,Q1,Saturday,BC,BC BU,Burnaby,RTE-0044,General Waste,Industrial,1,1,160,157,3,292.7,138.3,20.25,259.8,47.03,66.5,10440.71,4277.5,264.81,722.22,77.12,583.5,5925.15,6163.21,4515.56,43.25,22.06,22.06,0,1,0,None
RDK-0003774,2023-05-06,2023,5,Q2,Saturday,Alberta,Edmonton BU,Edmonton North,RTE-0119,Cardboard,Office & Commercial,1,1,107,107,0,251.6,136.0,15.56,209.2,12.27,48.82,5223.66,335.75,257.02,740.92,76.2,225.2,1635.09,4887.91,3588.57,68.7,17.09,17.26,10,1,0,None
RDK-0003775,2023-02-17,2023,2,Q1,Friday,Alberta,Edmonton BU,Edmonton North,RTE-0110,Organics,Healthcare,1,1,119,114,5,203.9,119.0,14.15,198.4,51.79,74.49,8491.96,3307.46,196.03,551.16,51.42,376.02,4482.09,5184.5,4009.87,47.22,15.8,15.8,0,1,0,None
RDK-0003776,2024-10-05,2024,10,Q4,Saturday,Ontario,Central Ontario BU,Peterborough,RTE-0045,General Waste,Restaurant & Food Service,1,1,147,147,0,312.0,207.1,21.09,290.1,51.63,81.14,11927.24,4253.99,323.58,897.11,65.16,458.22,5998.06,7673.25,5929.18,49.71,20.99,21.21,13,1,0,None
RDK-0003777,2022-02-19,2022,2,Q1,Saturday,Atlantic,Atlantic BU,Moncton,RTE-0089,Organics,Retail,1,1,141,141,0,239.2,107.4,18.57,242.2,65.57,33.91,4781.64,2721.17,148.23,911.1,74.95,223.48,4078.93,2060.47,702.71,14.7,18.27,19.02,45,0,0,None
RDK-0003778,2023-01-02,2023,1,Q1,Monday,Atlantic,Atlantic BU,Moncton,RTE-0056,General Waste,Healthcare,2,2,164,162,2,264.8,126.1,22.14,280.5,50.62,68.18,11045.19,2965.5,223.31,975.3,69.61,579.7,4813.42,8079.69,6231.77,56.42,22.99,23.16,10,1,0,None
RDK-0003779,2024-06-22,2024,6,Q2,Saturday,Alberta,Calgary BU,Calgary SE,RTE-0051,Recycling,Retail,2,2,115,111,4,197.1,119.5,14.76,230.8,23.16,63.88,7091.09,1052.11,206.68,730.26,96.94,326.04,2412.03,6038.98,4679.06,65.99,15.43,15.68,15,1,0,None
RDK-0003780,2022-10-27,2022,10,Q4,Thursday,Atlantic,Atlantic BU,Moncton,RTE-0068,General Waste,Industrial,1,1,181,177,4,283.1,118.9,19.87,311.5,62.17,48.51,8586.08,4539.84,213.16,945.32,117.22,327.32,6142.86,4046.24,2443.22,28.46,20.55,20.92,22,0,0,None
RDK-0003781,2023-09-01,2023,9,Q3,Friday,Atlantic,Atlantic BU,Halifax,RTE-0063,Recycling,Retail,1,1,105,103,2,179.4,92.2,10.77,192.8,20.1,41.48,4272.89,499.6,160.32,570.55,74.55,199.97,1504.99,3773.29,2767.9,64.78,11.2,12.32,67,0,0,None
RDK-0003782,2024-05-31,2024,5,Q2,Friday,Prairies,Prairies BU,Winnipeg,RTE-0086,Recycling,Retail,1,1,179,179,0,258.3,184.6,20.4,357.0,37.0,54.91,9829.17,1574.52,309.67,976.29,64.37,448.81,3373.66,8254.65,6455.51,65.68,21.63,22.51,53,0,0,None
RDK-0003783,2024-10-23,2024,10,Q4,Wednesday,Alberta,Edmonton BU,St. Albert,RTE-0079,Organics,Restaurant & Food Service,2,2,158,152,6,319.2,171.5,20.48,299.8,70.08,85.15,12942.37,4667.01,299.83,941.89,111.46,633.77,6653.96,8275.36,6288.41,48.59,21.41,21.71,18,1,0,None
RDK-0003784,2024-12-03,2024,12,Q4,Tuesday,Ontario,Central Ontario BU,Sudbury,RTE-0101,Organics,Industrial,2,2,118,116,2,213.2,111.9,12.67,207.1,50.09,69.61,8075.0,2529.93,182.96,614.22,95.44,365.76,3788.31,5545.07,4286.69,53.09,12.69,12.69,0,1,0,None
RDK-0003785,2024-07-04,2024,7,Q3,Thursday,Alberta,Edmonton BU,Edmonton South,RTE-0084,Recycling,Hospitality,1,1,122,122,0,235.5,125.4,16.67,250.4,24.61,90.34,11021.53,1241.86,165.67,548.97,68.11,394.22,2418.83,9779.67,8602.7,78.05,16.76,16.76,0,1,0,None
RDK-0003786,2024-06-22,2024,6,Q2,Saturday,Quebec,Quebec BU,Montreal,RTE-0098,Recycling,Office & Commercial,1,1,104,104,0,157.1,106.5,12.77,207.0,20.3,59.66,6204.4,385.37,171.17,455.9,35.12,268.65,1316.21,5819.03,4888.19,78.79,13.45,13.55,6,1,0,None
RDK-0003787,2023-09-16,2023,9,Q3,Saturday,Quebec,Quebec BU,Montreal,RTE-0053,General Waste,Retail,2,2,139,134,5,263.1,172.3,19.75,268.4,53.15,56.57,7579.75,3315.34,280.82,1044.07,89.65,361.97,5091.85,4264.41,2487.9,32.82,22.11,22.83,43,0,0,None
RDK-0003788,2023-03-24,2023,3,Q1,Friday,Atlantic,Atlantic BU,Fredericton,RTE-0102,Recycling,Restaurant & Food Service,1,1,133,133,0,262.9,122.5,16.06,244.7,23.42,70.48,9373.6,951.88,183.51,897.91,78.2,335.13,2446.63,8421.72,6926.97,73.9,15.63,16.18,33,0,0,None
RDK-0003789,2022-09-08,2022,9,Q3,Thursday,Atlantic,Atlantic BU,Fredericton,RTE-0035,General Waste,Office & Commercial,1,1,168,168,0,293.2,190.0,21.31,305.5,51.95,29.01,4873.57,3624.47,304.0,867.56,56.96,196.18,5049.17,1249.1,-175.6,-3.6,21.91,22.31,24,0,0,None
RDK-0003790,2024-01-19,2024,1,Q1,Friday,Quebec,Quebec BU,Longueuil,RTE-0027,Recycling,Hospitality,1,1,152,152,0,234.2,141.8,20.65,275.6,28.67,41.42,6295.1,1036.81,263.43,1000.86,76.49,305.28,2682.87,5258.29,3612.23,57.38,21.88,21.91,2,1,0,None
RDK-0003791,2024-03-05,2024,3,Q1,Tuesday,Atlantic,Atlantic BU,Fredericton,RTE-0102,Recycling,Restaurant & Food Service,1,1,129,127,2,195.2,119.6,18.16,243.1,22.65,69.7,8852.24,709.94,211.42,687.79,74.36,296.66,1980.17,8142.3,6872.07,77.63,19.83,19.83,0,1,0,None
RDK-0003792,2023-08-25,2023,8,Q3,Friday,BC,BC BU,Surrey,RTE-0039,General Waste,Industrial,1,1,161,161,0,293.6,118.1,19.19,321.6,57.39,80.71,12994.68,4119.16,170.94,909.82,56.24,465.66,5721.82,8875.52,7272.86,55.97,19.14,19.57,26,0,0,None
RDK-0003793,2024-10-17,2024,10,Q4,Thursday,Alberta,Edmonton BU,Edmonton North,RTE-0087,Cardboard,Office & Commercial,1,1,167,167,0,249.9,122.2,19.37,328.5,19.24,42.3,7063.85,399.19,251.39,617.09,63.63,364.79,1696.09,6664.66,5367.76,75.99,19.4,19.85,27,0,0,None
RDK-0003794,2022-07-01,2022,7,Q3,Friday,Alberta,Edmonton BU,Edmonton North,RTE-0119,Cardboard,Office & Commercial,1,1,112,112,0,173.2,102.4,13.46,218.0,13.51,51.05,5717.2,281.59,195.51,610.6,51.26,144.43,1283.39,5435.61,4433.81,77.55,14.08,14.08,0,1,0,None
RDK-0003795,2023-01-07,2023,1,Q1,Saturday,Quebec,Quebec BU,Montreal,RTE-0055,Recycling,Restaurant & Food Service,1,1,117,115,2,216.7,105.1,17.14,192.4,18.74,58.77,6758.24,345.18,198.97,852.72,49.57,207.82,1654.26,6413.06,5103.98,75.52,18.69,19.12,26,0,0,None
RDK-0003796,2023-10-13,2023,10,Q4,Friday,BC,BC BU,Burnaby,RTE-0009,General Waste,Retail,1,1,136,133,3,174.0,88.5,15.91,256.2,45.08,60.04,7985.96,3659.08,146.77,912.28,43.47,364.0,5125.6,4326.88,2860.36,35.82,16.92,16.94,1,1,0,None
RDK-0003797,2024-09-04,2024,9,Q3,Wednesday,BC,BC BU,Surrey,RTE-0039,General Waste,Industrial,1,1,154,145,9,332.8,151.1,27.37,291.7,57.79,81.17,11769.37,4956.3,253.08,1007.66,112.84,664.16,6994.04,6813.07,4775.33,40.57,28.24,28.31,4,1,0,None
RDK-0003798,2023-10-18,2023,10,Q4,Wednesday,Quebec,Quebec BU,Longueuil,RTE-0050,General Waste,Industrial,1,1,100,100,0,147.6,86.6,14.21,180.4,32.74,57.54,5754.47,1914.49,162.47,519.36,62.38,279.08,2937.78,3839.98,2816.69,48.95,14.67,15.04,22,0,0,None
RDK-0003799,2024-01-31,2024,1,Q1,Wednesday,Quebec,Quebec BU,Longueuil,RTE-0027,Recycling,Hospitality,1,1,126,125,1,218.2,126.4,15.35,222.4,20.42,68.01,8500.87,248.24,174.35,764.34,90.61,571.83,1849.37,8252.63,6651.5,78.24,15.64,15.64,0,1,0,None
RDK-0003800,2023-08-14,2023,8,Q3,Monday,Prairies,Prairies BU,Winnipeg,RTE-0029,Recycling,Hospitality,1,1,153,153,0,372.1,225.5,25.13,306.7,27.7,86.2,13188.17,1169.29,393.9,828.71,124.1,646.25,3162.25,12018.88,10025.92,76.02,26.72,27.17,27,0,0,None
RDK-0003801,2024-03-06,2024,3,Q1,Wednesday,Prairies,Prairies BU,Regina,RTE-0011,Organics,Healthcare,2,2,145,145,0,201.0,85.5,14.66,267.9,57.58,85.72,12429.11,2161.75,130.71,718.17,53.23,560.55,3624.41,10267.36,8804.7,70.84,15.93,16.73,48,0,0,None
RDK-0003802,2024-06-17,2024,6,Q2,Monday,Atlantic,Atlantic BU,Moncton,RTE-0113,Cardboard,Restaurant & Food Service,1,1,111,111,0,256.1,146.9,16.01,245.8,14.17,65.98,7324.08,233.04,229.06,796.33,103.93,331.54,1693.9,7091.04,5630.18,76.87,16.93,17.21,17,1,0,None
RDK-0003803,2023-02-03,2023,2,Q1,Friday,Prairies,Prairies BU,Winnipeg,RTE-0001,General Waste,Retail,1,1,161,161,0,175.0,87.0,17.52,282.2,51.01,62.5,10061.99,3964.04,153.22,619.67,21.56,383.13,5141.62,6097.95,4920.37,48.9,17.94,18.26,19,1,0,None
RDK-0003804,2022-10-03,2022,10,Q4,Monday,Ontario,Central Ontario BU,Barrie,RTE-0105,General Waste,Office & Commercial,2,2,166,163,3,239.6,138.4,22.29,297.9,51.29,42.93,6998.39,5009.13,219.4,930.48,70.63,208.26,6437.9,1989.26,560.49,8.01,22.48,22.6,7,1,0,None
RDK-0003805,2024-01-11,2024,1,Q1,Thursday,Prairies,Prairies BU,Regina,RTE-0042,Cardboard,Retail,1,1,137,137,0,251.0,137.1,21.57,244.0,15.34,61.26,8392.35,462.29,225.28,1096.47,100.59,314.08,2198.71,7930.06,6193.64,73.8,23.28,23.78,30,0,0,None
RDK-0003806,2022-01-13,2022,1,Q1,Thursday,Atlantic,Atlantic BU,Moncton,RTE-0089,Organics,Retail,1,1,150,150,0,240.5,146.7,16.83,242.9,61.39,45.98,6897.49,3802.56,253.36,827.43,47.73,304.23,5235.31,3094.93,1662.18,24.1,16.69,17.36,40,0,0,None
RDK-0003807,2023-03-01,2023,3,Q1,Wednesday,Prairies,Prairies BU,Winnipeg,RTE-0001,General Waste,Retail,1,1,171,168,3,290.7,184.5,20.49,297.8,52.73,54.72,9193.15,3444.39,289.43,822.95,114.64,361.18,5032.59,5748.76,4160.56,45.26,19.02,19.02,0,1,0,None
RDK-0003808,2022-01-07,2022,1,Q1,Friday,Quebec,Quebec BU,Longueuil,RTE-0050,General Waste,Industrial,1,1,118,109,9,264.6,123.0,15.31,175.4,28.59,62.41,6802.44,2463.92,244.71,766.94,97.96,101.6,3675.13,4338.52,3127.31,45.97,16.24,16.57,20,0,0,None
RDK-0003809,2023-05-24,2023,5,Q2,Wednesday,Atlantic,Atlantic BU,Halifax,RTE-0024,General Waste,Restaurant & Food Service,1,1,165,164,1,373.5,229.1,23.92,321.7,57.38,57.16,9374.75,3930.8,424.2,1031.25,144.72,469.58,6000.55,5443.95,3374.2,35.99,25.12,25.17,3,1,0,None
RDK-0003810,2024-01-11,2024,1,Q1,Thursday,Alberta,Calgary BU,Airdrie,RTE-0069,General Waste,Retail,2,2,156,151,5,305.5,175.1,20.79,272.2,49.51,36.41,5498.14,4644.38,319.24,911.3,110.83,177.63,6163.38,853.76,-665.24,-12.1,21.86,23.13,76,0,0,None
RDK-0003811,2024-01-03,2024,1,Q1,Wednesday,Prairies,Prairies BU,Regina,RTE-0062,General Waste,Office & Commercial,1,1,106,106,0,170.8,105.8,13.92,186.4,33.91,26.61,2820.41,2787.24,192.64,592.98,34.78,117.68,3725.32,33.17,-904.91,-32.08,15.79,16.16,22,0,0,None
RDK-0003812,2022-06-13,2022,6,Q2,Monday,Prairies,Prairies BU,Regina,RTE-0006,Cardboard,Restaurant & Food Service,1,1,130,129,1,229.5,142.5,16.18,241.7,14.7,45.14,5822.88,355.27,246.25,745.77,87.8,210.09,1645.18,5467.61,4177.7,71.75,17.99,17.99,0,1,0,None
